Nomor_Mitra,ID_Posisi,Nama_Posisi,Nama_Mitra,Nama_Kegiatan,Kuota_Posisi,Lokasi_Bekerja,Tipe_Aktivitas,URL_Logo,Mulai_Periode,Berakhir_Periode,Mulai_Pendaftaran,Berakhir_Pendaftaran,SKS_Diberikan,Kode_Lokasi,ID_Mitra,Kegiatan_Bersertifikat
1089,8d4dfc21-6fb7-11ed-8b84-22d0c8df9d48,HR Operation,Surya Citra Media - EMTEK Group,SIP (SCM Internship Program),2,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4c560d1a-0e74-4525-9d9c-4feb95a08b71.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-02-16T07:00:00+07:00,20,016000,b409663d-e067-46e0-81d9-eb4fff33f45f,True
1090,a3cf855e-6ee9-11ed-9161-22d0c8df9d48,HR Operation,Sekolah.mu,BLENDED LEARNING EDUCATION INNOVATOR,1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c80c2219-0842-4ed0-91f6-31f13a51d45e.png,2023-02-20T07:00:00+07:00,2023-07-21T07:00:00+07:00,2023-01-16T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,c2bfb0e4-c49c-4e14-abf7-74d21f0aaa05,True
1091,3c040009-6eea-11ed-9cff-0278cb7f6574,HR Organization and Learning Development,Sekolah.mu,BLENDED LEARNING EDUCATION INNOVATOR,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c80c2219-0842-4ed0-91f6-31f13a51d45e.png,2023-02-20T07:00:00+07:00,2023-07-21T07:00:00+07:00,2023-01-16T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,c2bfb0e4-c49c-4e14-abf7-74d21f0aaa05,True
1092,cb36a31e-7f50-11ed-9af6-e28bf6b6d14d,HR - Organization Development ,Sinar Mas Mining,TechConnect HackStudent Program,9,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b34f72f2-4dfc-40ab-be1b-a56d7ff4ba93.png,2023-02-16T07:00:00+07:00,2023-06-26T07:00:00+07:00,2022-12-19T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,dede6cf1-9d1e-4be8-8592-e656925265a0,True
1093,f309a577-6fd9-11ed-b6f6-62d54cabf853,HR Pengemudi Intern,Bluebird Group,Belajar Birdsama Bluebird,5,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta",OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_344c87cc-627d-46d8-a4cb-650b8e73d167.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-23T07:00:00+07:00,2023-01-13T07:00:00+07:00,20,,ac1f94db-56fa-4a5c-8cfa-5c6c67b3f1fb,True
1094,198a2d45-7a0d-11ed-a6c1-2615bc75a6a3,HR People Development,Garment Manufacturing,PAN 8 Sragen Internship Program (PSIP),4,Kab. Boyolali,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_657b3206-5540-4a88-ad4d-ca1247cd5f2f.png,2023-02-10T07:00:00+07:00,2023-07-10T07:00:00+07:00,2022-11-21T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,030900,7e6a4c10-aca9-4b78-89d5-7a56baf5c15e,True
1095,6aab6727-665b-11ed-9ad9-5a2f049e0a05,HR Project Intern,Trakindo,Learning Gamification,4,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_36e9154a-8dee-4268-b8b2-5bc121e4121b.png,2023-02-13T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-11-28T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016300,5bc2c129-6ce8-4935-a651-37bcd8ee46b1,True
1096,1012dccc-6eec-11ed-8b84-22d0c8df9d48,HR Recruitment,Sekolah.mu,BLENDED LEARNING EDUCATION INNOVATOR,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c80c2219-0842-4ed0-91f6-31f13a51d45e.png,2023-02-20T07:00:00+07:00,2023-07-21T07:00:00+07:00,2023-01-16T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,c2bfb0e4-c49c-4e14-abf7-74d21f0aaa05,True
1097,d31a68ff-7a13-11ed-a6c1-2615bc75a6a3,HR Recruitment and Selection,Garment Manufacturing,PAN 8 Sragen Internship Program (PSIP),2,Kab. Boyolali,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_657b3206-5540-4a88-ad4d-ca1247cd5f2f.png,2023-02-10T07:00:00+07:00,2023-07-10T07:00:00+07:00,2022-11-21T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,030900,7e6a4c10-aca9-4b78-89d5-7a56baf5c15e,True
1098,cdff9a3c-803b-11ed-82a8-2615bc75a6a3,HR Services,Home Credit Indonesia,Home Credit Apprenticeship  Program (HAP) 3.0 ,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8471966c-6da5-47b7-9275-8de31d6c807b.png,2023-02-16T07:00:00+07:00,2023-07-01T07:00:00+07:00,2023-01-02T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,ae9a3576-23cb-42c2-9885-4cb1a4141799,True
