ID Posisi,Nama Posisi,Nama Mitra,Nama Kegiatan,Quota Posisi,Lokasi Bekerja,Tipe Aktivitas,URL Logo
46019b3a-6bd0-11ed-acfa-feb214c74b66,Fasilitator Pendamping - BaLiKu,BTPN Syariah,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),20,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
2ec9e283-6bcc-11ed-934e-964ca1abcf1b,Fasilitator Pendamping - Jawa Barat dan Banten,BTPN Syariah,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),25,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
f916cd61-6bcc-11ed-acfa-feb214c74b66,Fasilitator Pendamping - Jawa Tengah dan Yogya,BTPN Syariah,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),35,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
b1b51f3a-6bcd-11ed-9b00-0278cb7f6574,Fasilitator Pendamping - Jawa Timur,BTPN Syariah,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),70,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
ae936783-6bce-11ed-9b00-0278cb7f6574,Fasilitator Pendamping - Kalimantan,BTPN Syariah,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),30,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
76ee616f-6bcf-11ed-acfa-feb214c74b66,Fasilitator Pendamping - Sulawesi Selatan,BTPN Syariah,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),20,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
63949ea5-6bcb-11ed-934e-964ca1abcf1b,Fasilitator Pendamping - Sumatera Bagian Selatan ,BTPN Syariah,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),35,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
9710a35a-6bca-11ed-9b00-0278cb7f6574,Fasilitator Pendamping - Sumatera Bagian Tengah,BTPN Syariah,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),105,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
b90d632d-6bc9-11ed-acfa-feb214c74b66,Fasilitator Pendamping - Sumatera Bagian Utara,BTPN Syariah,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),60,Nasional,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7d4136a8-0963-485e-95ce-1f9cd5233df6.png
55b12090-658a-11ed-9e59-0e61737a49bc,FATB Supervisor,BUMA,Learning Management di Site Pertambangan Batubara,6,Kab. Berau,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_ff38d1e5-8075-49b7-86af-d0095a4912cb.jpg
94984206-60d5-11ed-aaab-4a119f027d25,Fieldman - Makassar,ASSA,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png
1440ecc8-6189-11ed-9380-320b4c7afbe7,Finance & Accounting Officer - Autopedia (Jakarta),ASSA,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png
68bc8e10-604d-11ed-b3af-8a7c8006de3f,"Finance, Accounting, & Tax (FAT) Intern",Zenius,Zenius Professionals Practice Program Angkatan 4,2,Kota Jakarta Selatan,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_344946d7-f9c2-4c1e-8af0-646114c7d8ad.png
9f8602bc-6a48-11ed-98e1-a2c3ec1c6e84,Finance and Administration Assistant,PT Bumitama Gunajaya Agro,Planter Development Program,15,Kab. Kotawaringin Timur,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_629f2eb8-a747-4cee-a5c3-e27c8a8ec63e.png
